TimeStep,Station_PM,Speed
1523,11,67.5
1523,4,67.3
1523,0,69.7
1523,15,71.9
1523,24,70.6
1523,3,62.0
1523,12,66.1
1523,25,70.5
1523,1,71.1
1523,18,73.3
1523,20,70.2
1524,26,71.2
1524,27,67.8
1524,22,71.0
1524,11,71.3
1524,4,68.9
1524,0,70.2
1524,15,72.2
1524,24,72.0
1524,3,54.1
1524,12,70.6
1524,25,69.5
1524,1,70.7
1524,18,72.9
1524,20,72.5
1525,26,65.8
1525,27,65.0
1525,22,70.2
1525,11,69.8
1525,4,65.6
1525,0,70.9
1525,15,73.0
1525,24,69.4
1525,3,60.8
1525,12,69.2
1525,25,68.0
1525,1,69.5
1525,18,69.9
1525,20,68.5
1526,26,69.4
1526,27,67.3
1526,22,68.0
1526,11,66.3
1526,4,66.1
1526,0,71.9
1526,15,70.8
1526,24,71.0
1526,3,62.1
1526,12,65.9
1526,25,72.3
1526,1,70.7
1526,18,71.2
1526,20,68.1
1527,26,69.8
1527,27,70.1
1527,22,66.6
1527,11,69.2
1527,4,69.5
1527,0,70.4
1527,15,69.6
1527,24,68.9
1527,3,65.9
1527,12,67.6
1527,25,68.4
1527,1,70.3
1527,18,71.9
1527,20,69.7
1528,26,68.0
1528,27,69.4
1528,22,72.4
1528,11,65.4
1528,4,69.4
1528,0,70.2
1528,15,70.2
1528,24,67.4
1528,3,69.4
1528,12,65.4
1528,25,66.8
1528,1,70.1
1528,18,69.6
1528,20,70.1
1529,26,68.1
1529,27,69.1
1529,22,69.5
1529,11,66.8
1529,4,64.1
1529,0,70.2
1529,15,67.9
1529,24,68.3
1529,3,67.9
1529,12,66.9
1529,25,72.2
1529,1,70.4
1529,18,73.4
1529,20,67.9
1530,26,68.4
1530,27,70.5
1530,22,66.0
1530,11,67.1
1530,4,66.4
1530,0,69.4
1530,15,69.8
1530,24,70.0
1530,3,70.1
1530,12,68.6
1530,25,69.1
1530,1,68.0
1530,18,68.9
1530,20,70.3
1531,26,71.0
1531,27,67.8
1531,22,71.3
1531,11,65.9
1531,4,62.1
1531,0,70.7
1531,15,70.5
1531,24,69.8
1531,3,65.9
1531,12,66.4
1531,25,68.7
1531,1,70.2
1531,18,70.7
1531,20,69.5
1532,26,73.7
1532,27,67.5
1532,22,70.0
1532,11,66.7
1532,4,64.8
1532,0,69.6
1532,15,69.6
1532,24,71.6
1532,3,64.8
1532,12,65.9
1532,25,71.4
1532,1,69.1
1532,18,70.9
1532,20,71.7
1533,26,74.1
1533,27,73.5
1533,22,71.0
1533,11,64.7
1533,4,67.2
1533,0,71.7
1533,15,66.8
1533,24,70.5
1533,3,65.1
1533,12,67.6
1533,25,70.4
1533,1,69.5
1533,18,70.3
1533,20,72.1
1534,26,73.1
1534,27,71.0
1534,22,72.4
1534,11,64.1
1534,4,65.8
1534,0,72.2
1534,15,69.0
1534,24,70.8
1534,3,65.8
1534,12,64.7
1534,25,71.9
1534,1,70.3
1534,18,67.1
1534,20,71.4
1535,26,73.7
1535,27,69.8
1535,22,67.2
1535,11,63.7
1535,4,67.0
1535,0,69.6
1535,15,67.3
1535,24,73.4
1535,3,67.7
1535,12,63.7
1535,25,73.3
1535,1,69.8
1535,18,68.4
1535,20,69.0
1536,26,72.5
1536,27,70.6
1536,22,68.3
1536,11,64.4
1536,4,66.1
1536,0,71.1
1536,15,65.7
1536,24,67.3
1536,3,66.7
1536,12,65.2
1536,25,69.6
1536,1,70.3
1536,18,67.1
1536,20,69.0
1537,26,67.9
1537,27,67.2
1537,22,67.2
1537,11,67.4
1537,4,66.2
1537,0,70.0
1537,15,66.2
1537,24,69.1
1537,3,69.7
1537,12,66.2
1537,25,66.0
1537,1,70.2
1537,18,67.0
1537,20,68.0
1538,26,70.7
1538,27,66.9
1538,22,67.0
1538,11,68.1
1538,4,69.8
1538,0,71.6
1538,15,67.0
1538,24,68.5
1538,3,67.7
1538,12,66.9
1538,25,69.6
1538,1,70.0
1538,18,68.7
1538,20,65.5
1539,26,67.7
1539,27,69.5
1539,22,65.8
1539,11,66.8
1539,4,66.5
1539,0,71.0
1539,15,68.0
1539,24,65.6
1539,3,67.7
1539,12,67.1
1539,25,67.7
1539,1,69.5
1539,18,68.2
