TimeStep,Station_PM,occu
44,16,0.05175
45,0,0.029375
45,1,0.0415
45,2,
45,3,
45,4,0.0285
45,5,
45,6,
45,7,0.043250000000000004
45,8,
45,9,0.036
45,10,
45,11,0.026
45,12,
45,13,0.0195
45,14,0.026000000000000002
45,15,0.025
45,16,0.035250000000000004
46,0,0.019500000000000003
46,1,0.026250000000000002
46,2,
46,3,
46,4,0.051625000000000004
46,5,
46,6,
46,7,0.044
46,8,
46,9,0.041375
46,10,
46,11,0.07075000000000001
46,12,
46,13,0.051000000000000004
46,14,0.017875
46,15,0.0355
46,16,0.030875
47,0,0.036000000000000004
47,1,0.0145
47,2,
47,3,
47,4,0.02425
47,5,
47,6,
47,7,0.0375
47,8,
47,9,0.04425
47,10,
47,11,0.02275
47,12,
47,13,0.035625
47,14,0.05
47,15,0.02225
47,16,0.037
48,0,0.031125000000000003
48,1,0.027499999999999997
48,2,
48,3,
48,4,0.052875000000000005
48,5,
48,6,
48,7,0.035875000000000004
48,8,
48,9,0.046875
48,10,
48,11,0.03775
48,12,
48,13,0.068
48,14,0.026000000000000002
48,15,0.059500000000000004
48,16,0.0265
49,0,0.061125
49,1,0.0335
49,2,
49,3,
49,4,0.030875
49,5,
49,6,
49,7,0.0295
49,8,
49,9,0.06
49,10,
49,11,0.03875
49,12,
49,13,0.026125
49,14,0.058375
49,15,0.029124999999999998
49,16,0.060875
50,0,0.02825
50,1,0.028999999999999998
50,2,
50,3,
50,4,0.027375
50,5,
50,6,
50,7,0.056999999999999995
50,8,
50,9,0.028624999999999998
50,10,
50,11,0.043375
50,12,
50,13,0.022875
50,14,0.022625
50,15,0.068
50,16,0.047125
51,0,0.058374999999999996
51,1,0.025625
51,2,
51,3,
51,4,0.024833333333333332
51,5,
51,6,
51,7,0.02425
51,8,
51,9,0.048375
51,10,
51,11,0.0465
51,12,
51,13,0.0415
51,14,0.024875
51,15,0.026875000000000003
51,16,0.05437500000000001
52,0,0.029875
52,1,0.04625
52,2,
52,3,
52,4,0.0405
52,5,
52,6,
52,7,0.035166666666666666
52,8,
52,9,0.045375
52,10,
52,11,0.027625
52,12,
52,13,0.03975
52,14,0.023125
52,15,0.03375
52,16,0.019
53,0,0.02975
53,1,0.037
53,2,
53,3,
53,4,0.036875
53,5,
53,6,
53,7,0.01925
53,8,
53,9,0.043125000000000004
53,10,
53,11,0.0565
53,12,
53,13,0.04925
53,14,0.030375
53,15,0.027375000000000003
53,16,0.037125000000000005
54,0,0.018375
54,1,0.0245
54,2,
54,3,
54,4,0.04575
54,5,
54,6,
54,7,0.044625
54,8,
54,9,0.059000000000000004
54,10,
54,11,0.066625
54,12,
54,13,0.0315
54,14,0.044
54,15,0.040375
54,16,0.021625000000000002
55,0,0.032125
55,1,0.015125
55,2,
55,3,
55,4,0.04
55,5,
55,6,
55,7,0.039875
55,8,
55,9,0.030625
55,10,
55,11,0.036375000000000005
55,12,
55,13,0.040125
55,14,0.015375000000000002
55,15,0.047375
55,16,0.044625
56,0,0.056874999999999995
56,1,0.0225
56,2,
56,3,
56,4,0.050374999999999996
56,5,
56,6,
56,7,0.05075
56,8,
56,9,0.04475
56,10,
56,11,0.042249999999999996
56,12,
56,13,0.0545
56,14,0.042374999999999996
56,15,0.024
56,16,0.04975
57,0,0.027625
57,1,0.029124999999999998
57,2,
57,3,
57,4,0.0205
57,5,
57,6,
57,7,0.042499999999999996
57,8,
57,9,0.0485
57,10,
57,11,0.0325
57,12,
57,13,0.059875
57,14,0.04175
57,15,0.041874999999999996
57,16,0.01325
58,0,0.03475
58,1,0.039125
58,2,
58,3,
58,4,0.02875
58,5,
58,6,
58,7,0.054000000000000006
58,8,
58,9,0.03866666666666667
58,10,
58,11,0.0455
58,12,
58,13,0.043875
58,14,0.050125
58,15,0.0455
58,16,0.049875
59,0,0.014374999999999999
59,1,0.028375
59,2,
59,3,
59,4,0.02775
59,5,
59,6,
59,7,0.030875
59,8,
59,9,0.06875
59,10,
59,11,0.04125
59,12,
59,13,0.04516666666666667
59,14,0.026125
59,15,0.066625
59,16,0.065625
60,0,0.02675
60,1,0.015125
60,2,
60,3,
60,4,0.03887500000000001
60,5,
60,6,
60,7,0.0195
60,8,
60,9,0.03987500000000001
60,10,
60,11,0.073875
60,12,
60,13,0.05383333333333334
60,14,0.032625
60,15,0.030625000000000003
60,16,0.04775
61,0,0.023875
61,1,0.018125
61,2,
61,3,
61,4,0.044833333333333336
61,5,
61,6,
61,7,0.029125
61,8,
61,9,0.04775
61,10,
61,11,0.031875
61,12,
61,13,0.036250000000000004
61,14,0.036375
61,15,0.035250000000000004
61,16,0.038875
62,0,0.02225
62,1,0.0225
62,2,
62,3,
62,4,0.026250000000000002
62,5,
62,6,
62,7,0.042749999999999996
62,8,
62,9,0.020749999999999998
62,10,
62,11,0.056374999999999995
62,12,
62,13,0.0645
62,14,0.036750000000000005
62,15,0.052250000000000005
62,16,0.0395
63,0,0.032875
63,1,0.013500000000000002
63,2,
63,3,
63,4,0.0235
63,5,
63,6,
63,7,0.03175
63,8,
63,9,0.02325
63,10,
63,11,0.04833333333333334
63,12,
63,13,0.065875
63,14,0.043000000000000003
63,15,0.036375
63,16,0.037250000000000005
64,0,0.019250000000000003
64,1,0.027
64,2,
64,3,
64,4,0.015375
64,5,
64,6,
64,7,0.041625
64,8,
64,9,0.04075000000000001
64,10,
64,11,0.034
64,12,
64,13,0.025375
64,14,0.052875
64,15,0.060500000000000005
64,16,0.0415
65,0,0.057499999999999996
65,1,0.009125
65,2,
65,3,
65,4,0.035125
65,5,
65,6,
65,7,0.028000000000000004
65,8,
65,9,0.039125
65,10,
65,11,0.030625
65,12,
65,13,0.0595
65,14,0.035124999999999997
65,15,0.05975
65,16,0.05675
66,0,0.037375
66,1,0.040625
66,2,
66,3,
66,4,0.011125
66,5,
66,6,
66,7,0.017375
66,8,
66,9,0.04075
66,10,
66,11,0.0495
66,12,
66,13,0.02625
66,14,0.035
66,15,0.029124999999999998
66,16,0.05075
67,0,0.0325
67,1,0.037333333333333336
67,2,
67,3,
67,4,0.024125
67,5,
67,6,
67,7,0.0335
67,8,
67,9,0.026375000000000003
67,10,
67,11,0.032125
67,12,
67,13,0.036625
67,14,0.022125
67,15,0.0495
67,16,0.0475
68,0,0.026875
68,1,0.022166666666666668
68,2,
68,3,
68,4,0.017375
68,5,
68,6,
68,7,0.020125
68,8,
68,9,0.024375
68,10,
68,11,0.042749999999999996
68,12,
68,13,0.0485
68,14,0.036125
68,15,0.030625
68,16,0.043375000000000004
69,0,0.024125
69,1,0.023125
69,2,
69,3,
69,4,0.032
69,5,
69,6,
69,7,0.0155
69,8,
69,9,0.032125
69,10,
69,11,0.034375
69,12,
69,13,0.041124999999999995
69,14,0.044375
69,15,0.03075
69,16,0.023
70,0,0.029875
70,1,0.019125
70,2,
70,3,
70,4,0.049125
70,5,
70,6,
70,7,0.012249999999999999
70,8,
70,9,0.032125
70,10,
70,11,0.0245
70,12,
70,13,0.03825
70,14,0.0305
70,15,0.066
70,16,0.050875000000000004
