TimeStep,Station_PM,Occupancy
1513,27,0.0292
1513,22,0.0309
1513,11,0.0246
1513,4,0.024
1513,0,0.0274
1513,15,0.0159
1513,24,0.0261
1513,3,0.0208
1513,12,0.0204
1513,25,0.0216
1513,1,0.0151
1513,18,0.0221
1513,20,0.0368
1514,26,0.026
1514,27,0.0284
1514,22,0.0321
1514,11,0.0345
1514,4,0.0205
1514,0,0.0239
1514,15,0.0214
1514,24,0.0328
1514,3,0.0197
1514,12,0.0292
1514,25,0.0222
1514,1,0.0268
1514,18,0.0219
1514,20,0.0306
1515,26,0.0276
1515,27,0.0297
1515,22,0.0224
1515,11,0.0226
1515,4,0.0231
1515,0,0.025
1515,15,0.0291
1515,24,0.0277
1515,3,0.0233
1515,12,0.0142
1515,25,0.0223
1515,1,0.0241
1515,18,0.0237
1515,20,0.0229
1516,26,0.0307
1516,27,0.0219
1516,22,0.0219
1516,11,0.0204
1516,4,0.0268
1516,0,0.025
1516,15,0.0191
1516,24,0.0231
1516,3,0.0216
1516,12,0.0234
1516,25,0.0227
1516,1,0.0195
1516,18,0.031
1516,20,0.0249
1517,26,0.0238
1517,27,0.029
1517,22,0.0296
1517,11,0.0177
1517,4,0.0234
1517,0,0.0274
1517,15,0.0222
1517,24,0.0322
1517,3,0.0214
1517,12,0.0092
1517,25,0.0217
1517,1,0.0253
1517,18,0.0216
1517,20,0.0341
1518,26,0.0262
1518,27,0.0257
1518,22,0.0229
1518,11,0.0297
1518,4,0.0253
1518,0,0.0302
1518,15,0.0163
1518,24,0.0275
1518,3,0.0273
1518,12,0.0215
1518,25,0.0223
1518,1,0.025
1518,18,0.0339
1518,20,0.0282
1519,26,0.0277
1519,27,0.0259
1519,22,0.0377
1519,11,0.0236
1519,4,0.0311
1519,0,0.0277
1519,15,0.0243
1519,24,0.0253
1519,3,0.0252
1519,12,0.0231
1519,25,0.0227
1519,1,0.0265
1519,18,0.0151
1519,20,0.039
1520,26,0.0252
1520,27,0.03
1520,22,0.0273
1520,11,0.0256
1520,4,0.0404
1520,0,0.0347
1520,15,0.0263
1520,24,0.0375
1520,3,0.0313
1520,12,0.0236
1520,25,0.0297
1520,1,0.0201
1520,18,0.0302
1520,20,0.019
1521,26,0.0362
1521,27,0.0361
1521,22,0.0324
1521,11,0.0357
1521,4,0.0215
1521,0,0.0382
1521,15,0.0261
1521,24,0.0239
1521,3,0.0303
1521,12,0.0221
1521,25,0.0187
1521,1,0.0341
1521,18,0.0264
1521,20,0.0279
1522,26,0.0231
1522,27,0.0263
1522,22,0.0296
1522,11,0.0343
1522,4,0.0381
1522,0,0.0288
1522,15,0.0229
1522,24,0.0396
1522,3,0.2195
1522,12,0.0294
1522,25,0.0256
1522,1,0.0307
1522,18,0.0289
1522,20,0.0299
1523,26,0.0352
1523,27,0.0365
1523,22,0.0312
1523,11,0.0357
1523,4,0.036
1523,0,0.0337
1523,15,0.0379
1523,24,0.0297
1523,3,0.2703
1523,12,0.0372
1523,25,0.0278
1523,1,0.026
1523,18,0.0301
1523,20,0.0374
1524,26,0.0349
1524,27,0.0324
1524,22,0.044
1524,11,0.0364
1524,4,0.0213
1524,0,0.0299
1524,15,0.0303
1524,24,0.0343
1524,3,0.0871
1524,12,0.0224
1524,25,0.0349
1524,1,0.023
1524,18,0.0402
1524,20,0.0362
1525,26,0.0393
1525,27,0.0392
1525,22,0.0326
1525,11,0.0384
1525,4,0.0352
1525,0,0.0346
1525,15,0.0311
1525,24,0.0462
1525,3,0.0287
1525,12,0.0304
1525,25,0.0335
1525,1,0.0358
1525,18,0.036
1525,20,0.0393
1526,26,0.0418
1526,27,0.0447
1526,22,0.0421
1526,11,0.0325
1526,4,0.0386
1526,0,0.0367
1526,15,0.0316
1526,24,0.0403
1526,3,0.0435
1526,12,0.0372
1526,25,0.027
1526,1,0.0327
1526,18,0.0365
1526,20,0.0487
1527,26,0.0326
1527,27,0.0347
1527,22,0.0487
1527,11,0.0234
1527,4,0.0354
1527,0,0.0422
1527,15,0.0326
1527,24,0.0417
1527,3,0.0383
1527,12,0.013
1527,25,0.0328
1527,1,0.0398
1527,18,0.0369
1527,20,0.0326
1528,26,0.0528
1528,27,0.0451
1528,22,0.0374
1528,11,0.0427
1528,4,0.0425
1528,0,0.0353
1528,15,0.0178
1528,24,0.0544
1528,3,0.0364
1528,12,0.0328
1528,25,0.0435
1528,1,0.0297
1528,18,0.0338
1528,20,0.049
1529,26,0.0449
1529,27,0.0476
1529,22,0.0461
1529,11,0.0448
1529,4,0.0415
1529,0,0.0422
1529,15,0.0299
1529,24,0.0438
1529,3,0.0327
1529,12,0.0345
1529,25,0.0306
1529,1,0.0333
1529,18,0.023
1529,20,0.0379
1530,26,0.0493
1530,27,0.0442
1530,22,0.0356
1530,11,0.044
1530,4,0.0371
1530,0,0.0458
1530,15,0.0335
1530,24,0.04
1530,3,0.0335
1530,12,0.0328
1530,25,0.0412
1530,1,0.0427
1530,18,0.0359
1530,20,0.0268
1531,26,0.0326
1531,27,0.0451
1531,22,0.0283
1531,11,0.0383
1531,4,0.0519
1531,0,0.0484
1531,15,0.035
1531,24,0.0337
1531,3,0.0469
1531,12,0.0394
1531,25,0.0284
1531,1,0.0438
1531,18,0.0416
1531,20,0.0358
1532,26,0.0303
1532,27,0.0334
1532,22,0.046
1532,11,0.0368
1532,4,0.0508
1532,0,0.0459
1532,15,0.0381
1532,24,0.0326
1532,3,0.045
1532,12,0.0353
1532,25,0.0242
1532,1,0.0367
1532,18,0.039
1532,20,0.0499
1533,26,0.0391
1533,27,0.0314
1533,22,0.0459
1533,11,0.0445
1533,4,0.0341
1533,0,0.0455
1533,15,0.0355
1533,24,0.0529
1533,3,0.0416
1533,12,0.0256
1533,25,0.0383
1533,1,0.0455
1533,18,0.0398
1533,20,0.0486
1534,26,0.0452
1534,27,0.0467
1534,22,0.045
1534,11,0.063
1534,4,0.0552
1534,0,0.0373
1534,15,0.0276
1534,24,0.0416
1534,3,0.0429
1534,12,0.0578
1534,25,0.0329
1534,1,0.0363
1534,18,0.0459
1534,20,0.0441
1535,26,0.0414
1535,27,0.0469
1535,22,0.059
1535,11,0.0386
1535,4,0.0489
1535,0,0.0528
1535,15,0.0472
1535,24,0.0482
1535,3,0.0393
1535,12,0.0345
1535,25,0.0353
1535,1,0.0338
1535,18,0.0303
1535,20,0.0512
1536,26,0.044
1536,27,0.0427
1536,22,0.0461
1536,11,0.0626
1536,4,0.0393
1536,0,0.0387
1536,15,0.0408
1536,24,0.0678
1536,3,0.042
1536,12,0.0401
1536,25,0.0486
1536,1,0.0447
1536,18,0.059
1536,20,0.043
1537,26,0.0643
1537,27,0.066
1537,22,0.0586
1537,11,0.0421
1537,4,0.0582
1537,0,0.0493
1537,15,0.0418
1537,24,0.0423
1537,3,0.0409
1537,12,0.0399
1537,25,0.043
1537,1,0.0393
1537,18,0.0432
1537,20,0.0586
1538,26,0.0447
1538,27,0.0479
1538,22,0.0567
1538,11,0.0392
1538,4,0.0379
