TimeStep,Station_Number,k_t
7.0,12.0,0.27064884
7.0,7.0,0.23203991
7.0,10.0,0.55283755
7.0,45.0,0.045653384
7.0,157.0,-0.75444263
7.0,175.0,-0.3477043
7.0,247.0,0.011754822
7.0,234.0,0.046072897
7.0,268.0,-0.034054913
7.0,264.0,-0.026503155
7.0,226.0,0.072839424
7.0,229.0,0.062096633
7.0,212.0,0.13267852
7.0,196.0,0.14862326
7.0,220.0,0.09704067
7.0,170.0,-0.5410778
7.0,148.0,-0.6229711
7.0,77.0,0.20157501
7.0,161.0,-0.74593997
7.0,132.0,-0.2796147
7.0,128.0,-0.25345662
7.0,117.0,-0.18245435
7.0,92.0,-0.08294392
7.0,69.0,0.035852686
7.0,65.0,-0.35684672
7.0,22.0,-0.33898807
7.0,52.0,0.16485515
7.0,60.0,-0.64895576
7.0,56.0,-0.33937716
7.0,58.0,-0.55775017
7.0,75.0,0.21500145
8.0,294.0,-0.06390154
8.0,181.0,-0.69178647
8.0,152.0,-0.19856215
8.0,118.0,-0.25037304
8.0,286.0,-0.04714125
8.0,281.0,-0.036260784
8.0,276.0,-0.024434876
8.0,272.0,-0.014332894
8.0,258.0,0.02279062
8.0,256.0,0.02800516
8.0,252.0,0.03821454
8.0,224.0,0.09412492
8.0,216.0,0.0827778
8.0,208.0,0.017181778
8.0,207.0,0.0029163174
8.0,201.0,-0.11878257
8.0,192.0,-0.4027749
8.0,186.0,-0.5928737
8.0,173.0,-0.68245035
8.0,144.0,-0.06975118
8.0,124.0,-0.1754479
8.0,122.0,-0.20058277
8.0,109.0,-0.22784597
8.0,107.0,-0.18496905
8.0,97.0,-0.05201037
8.0,89.0,0.16592884
8.0,74.0,0.055974096
8.0,136.0,-0.038619358
8.0,99.0,-0.08885919
8.0,79.0,0.2723974
8.0,199.0,-0.17337424
8.0,297.0,-0.0707461
8.0,23.0,-0.17834426
8.0,0.0,0.24522789
8.0,17.0,0.14600873
8.0,5.0,1.1442846
8.0,12.0,0.40913472
8.0,7.0,0.28757796
8.0,10.0,0.3716945
8.0,45.0,0.027937194
8.0,157.0,-0.30813977
8.0,175.0,-0.70380616
8.0,247.0,0.050532788
8.0,234.0,0.079939194
8.0,268.0,-0.0038351724
8.0,264.0,0.006849179
8.0,226.0,0.09274119
8.0,229.0,0.08897005
8.0,212.0,0.05952406
8.0,196.0,-0.26642066
8.0,220.0,0.09272646
8.0,170.0,-0.6310791
8.0,148.0,-0.12551081
8.0,77.0,0.22872968
8.0,161.0,-0.4072643
8.0,132.0,-0.0713543
8.0,128.0,-0.122749805
8.0,117.0,-0.26183623
8.0,92.0,0.08637186
8.0,69.0,-0.46342593
8.0,65.0,-0.6314655
8.0,22.0,-0.06826902
8.0,52.0,0.4545146
8.0,60.0,-0.33253333
8.0,56.0,0.008039862
8.0,58.0,-0.14395931
8.0,75.0,0.13051628
9.0,294.0,-0.052140847
9.0,181.0,-0.42425084
9.0,152.0,0.028277298
9.0,118.0,-0.51658016
9.0,286.0,-0.023550417
9.0,281.0,-0.0080346875
9.0,276.0,0.0070440937
9.0,272.0,0.018959692
9.0,258.0,0.057577778
9.0,256.0,0.062213264
9.0,252.0,0.0702357
9.0,224.0,-0.048312012
9.0,216.0,-0.23242417
9.0,208.0,-0.47901145
