TimeStep,Station_Number,k_x
5.0,268.0,-0.01972105
5.0,264.0,-0.016801368
5.0,226.0,-0.007584218
5.0,229.0,-0.008662909
5.0,212.0,0.0033003744
5.0,196.0,0.011570137
5.0,220.0,-0.0040545035
5.0,170.0,-0.023933474
5.0,148.0,-0.07361422
5.0,77.0,-0.02941328
5.0,161.0,-0.031092353
5.0,132.0,-0.09377409
5.0,128.0,-0.08789972
5.0,117.0,0.06723572
5.0,92.0,-0.016676877
5.0,69.0,-0.027419452
5.0,65.0,-0.027606733
5.0,22.0,0.2362225
5.0,52.0,-1.2650253
5.0,60.0,-0.0328494
5.0,56.0,-0.13610278
5.0,58.0,-0.05556942
5.0,75.0,-0.028183073
6.0,294.0,-0.044808574
6.0,181.0,-0.013035607
6.0,152.0,-0.024502847
6.0,118.0,-0.0016301721
6.0,286.0,-0.03435144
6.0,281.0,-0.029257342
6.0,276.0,-0.024710484
6.0,272.0,-0.021459593
6.0,258.0,-0.0137411095
6.0,256.0,-0.013181057
6.0,252.0,-0.012457972
6.0,224.0,-0.0113255195
6.0,216.0,-0.0067482777
6.0,208.0,0.00044899993
6.0,207.0,0.0013652742
6.0,201.0,0.005663515
6.0,192.0,0.003926007
6.0,186.0,-0.0040231664
6.0,173.0,-0.021882955
6.0,144.0,-0.03262165
6.0,124.0,-0.06147456
6.0,122.0,-0.053671263
6.0,109.0,0.31133685
6.0,107.0,0.28559256
6.0,97.0,0.03433922
6.0,89.0,-0.01979478
6.0,74.0,-0.037701704
6.0,136.0,-0.045700796
6.0,99.0,0.069154195
6.0,79.0,-0.030524299
6.0,199.0,0.0063133175
6.0,297.0,-0.050351746
6.0,23.0,0.49550787
6.0,0.0,0.19222109
6.0,17.0,0.16010076
6.0,5.0,3.7506042
6.0,12.0,0.18372838
6.0,7.0,-0.08284797
6.0,10.0,0.075214
6.0,45.0,-0.17701751
6.0,157.0,-0.01824573
6.0,175.0,-0.021293942
6.0,247.0,-0.01219116
6.0,234.0,-0.012832224
6.0,268.0,-0.018618673
6.0,264.0,-0.016260423
6.0,226.0,-0.011947436
6.0,229.0,-0.01254222
6.0,212.0,-0.0033111535
6.0,196.0,0.006237276
6.0,220.0,-0.009464206
6.0,170.0,-0.020025263
6.0,148.0,-0.028582007
6.0,77.0,-0.033569694
6.0,161.0,-0.013960397
6.0,132.0,-0.054660365
6.0,128.0,-0.062076584
6.0,117.0,0.023973167
6.0,92.0,-0.011382565
6.0,69.0,-0.036364127
6.0,65.0,-0.01339506
6.0,22.0,0.55662704
6.0,52.0,-1.2663804
6.0,60.0,0.043662705
6.0,56.0,-0.07081306
6.0,58.0,0.030124927
6.0,75.0,-0.03648477
7.0,294.0,-0.04292974
7.0,181.0,0.0034225136
7.0,152.0,-0.0073294863
7.0,118.0,-0.030549861
7.0,286.0,-0.033157796
7.0,281.0,-0.028611517
7.0,276.0,-0.024692094
7.0,272.0,-0.021945808
7.0,258.0,-0.015514456
7.0,256.0,-0.015063455
7.0,252.0,-0.014522858
7.0,224.0,-0.015592646
7.0,216.0,-0.012092417
7.0,208.0,-0.005106721
7.0,207.0,-0.004079139
7.0,201.0,0.0018571299
7.0,192.0,0.0062967353
7.0,186.0,0.005130267
7.0,173.0,0.007358998
7.0,144.0,-0.03715484
7.0,124.0,-0.07301921
7.0,122.0,-0.06795891
7.0,109.0,0.2744428
7.0,107.0,0.2687324
7.0,97.0,0.048648596
7.0,89.0,-0.020132862
7.0,74.0,-0.04693961
7.0,136.0,-0.06258692
7.0,99.0,0.08096831
7.0,79.0,-0.049102858
7.0,199.0,0.003475123
7.0,297.0,-0.048170216
7.0,23.0,0.5494617
7.0,0.0,0.007343933
7.0,17.0,0.13141063
7.0,5.0,-0.013567546
7.0,12.0,0.102099635
7.0,7.0,0.030242354
